"RECORDID"	"ONEPERID"	"ONEPERFLAG"	"ORGFLAG"	"GROUPFLAG"	"EBDFFLAG"	"MASTERRECORDID"
"89I0003038"	"89I0003038"	"1"	""	""	"1"	"MA08245505"
"89I0003066"	"89I0003066"	"1"	""	""	"1"	"MA11200260"
"89I0003098"	"89I0003098"	"1"	""	""	"1"	"MA08991805"
"89I0003138"	"89I0003138"	"1"	""	""	"1"	"MA08808079"
"89I0003172"	"89I0003172"	"1"	""	""	"1"	"MA11029655"
"89I0003204"	""	""	""	"1"	""	"MR37370376"
"89I0003227"	"89I0003227"	"1"	""	""	"1"	"MR00613051"
"89I0003254"	"89I0003254"	"1"	""	""	"1"	"N00012VCDE"
"89I0003277"	"89I0003277"	"1"	""	""	"1"	"MA08272429"
"89I0003278"	"89I0003278"	"1"	""	""	"1"	"MG17233933"
"89I0003281"	"89I0003281"	"1"	""	""	"1"	"MA08844175"
"89I0003283"	"89I0003283"	"1"	""	""	"1"	"MA08651522"
"89I0003291"	"89I0003291"	"1"	""	""	"1"	"MA11235498"
"89I0003292"	"89I0003292"	"1"	""	""	"1"	"MF03576797"
"89I0003297"	"89I0003297"	"1"	""	""	"1"	"MA10998745"
"89I0003302"	"89I0003302"	"1"	""	""	"1"	"MA08950158"
"89I0003305"	"89I0003305"	"1"	""	""	"1"	"MA11580980"
"89I0003315"	"89I0003315"	"1"	""	""	"1"	"MA09156969"
"89I0003371"	"89I0003371"	"1"	""	""	"1"	"MA09144739"
"89I0003373"	"89I0003373"	"1"	""	""	"1"	"MA11115027"
